Time Step,A,B,C
1,5.00E-01,5.00E-01,5.00E-01
2,4.86E-01,4.92E-01,4.86E-01
3,4.99E-01,4.71E-01,4.70E-01
4,4.97E-01,4.35E-01,4.89E-01
5,4.87E-01,4.74E-01,4.84E-01
6,4.76E-01,4.94E-01,4.64E-01
7,4.87E-01,4.95E-01,4.85E-01
8,4.91E-01,4.83E-01,4.96E-01
9,4.51E-01,4.88E-01,4.84E-01
10,4.61E-01,4.43E-01,4.69E-01
11,4.42E-01,4.25E-01,4.95E-01
12,4.77E-01,4.07E-01,4.91E-01
13,4.83E-01,4.09E-01,4.87E-01
14,4.81E-01,3.75E-01,4.85E-01
15,4.77E-01,4.09E-01,4.66E-01
16,4.87E-01,3.71E-01,4.92E-01
17,4.96E-01,3.53E-01,4.69E-01
18,4.70E-01,3.50E-01,4.69E-01
19,4.29E-01,3.28E-01,4.42E-01
20,4.40E-01,2.92E-01,4.24E-01
21,4.31E-01,2.48E-01,4.26E-01
22,4.16E-01,2.13E-01,4.22E-01
23,4.05E-01,2.27E-01,4.44E-01
24,4.32E-01,1.88E-01,4.71E-01
25,4.28E-01,1.70E-01,4.56E-01
26,4.09E-01,1.83E-01,4.30E-01
27,3.86E-01,2.07E-01,4.07E-01
28,3.52E-01,1.96E-01,4.29E-01
29,3.61E-01,1.63E-01,4.41E-01
30,3.23E-01,1.46E-01,4.68E-01
31,3.16E-01,1.05E-01,4.78E-01
32,3.49E-01,1.28E-01,4.95E-01
33,3.59E-01,1.54E-01,4.98E-01
34,3.38E-01,1.77E-01,5.00E-01
35,3.23E-01,2.19E-01,4.77E-01
36,2.87E-01,2.26E-01,4.67E-01
37,3.03E-01,2.73E-01,4.66E-01
38,3.13E-01,2.68E-01,4.81E-01
39,3.25E-01,2.68E-01,4.85E-01
40,3.19E-01,2.82E-01,4.65E-01
41,3.34E-01,2.73E-01,4.69E-01
42,3.14E-01,2.54E-01,4.61E-01
43,2.89E-01,2.49E-01,4.89E-01
44,2.67E-01,2.70E-01,4.73E-01
45,3.01E-01,2.34E-01,4.68E-01
46,2.75E-01,2.14E-01,4.45E-01
47,2.59E-01,1.77E-01,4.29E-01
48,2.93E-01,1.59E-01,4.27E-01
49,3.29E-01,1.92E-01,4.20E-01
50,3.14E-01,1.83E-01,4.17E-01
51,3.25E-01,1.96E-01,4.34E-01
52,3.52E-01,1.70E-01,4.08E-01
53,3.66E-01,2.15E-01,4.18E-01
54,4.05E-01,2.62E-01,4.45E-01
55,4.37E-01,2.26E-01,4.30E-01
56,4.11E-01,2.24E-01,4.16E-01
57,4.34E-01,2.20E-01,4.14E-01
58,3.97E-01,2.60E-01,4.13E-01
59,4.05E-01,2.79E-01,4.02E-01
60,4.19E-01,3.02E-01,3.96E-01
61,3.87E-01,3.25E-01,4.00E-01
62,4.06E-01,3.00E-01,3.97E-01
63,3.87E-01,3.39E-01,3.78E-01
64,3.52E-01,3.19E-01,4.00E-01
65,3.59E-01,3.15E-01,3.91E-01
66,3.22E-01,3.23E-01,3.96E-01
67,3.35E-01,2.84E-01,3.72E-01
68,3.05E-01,2.53E-01,3.53E-01
69,3.18E-01,2.66E-01,3.30E-01
70,2.88E-01,2.27E-01,3.34E-01
71,2.62E-01,1.86E-01,3.46E-01
72,2.50E-01,2.07E-01,3.31E-01
73,2.49E-01,2.11E-01,3.58E-01
74,2.79E-01,2.01E-01,3.55E-01
75,2.92E-01,2.28E-01,3.75E-01
76,2.72E-01,2.68E-01,3.68E-01
77,2.43E-01,2.27E-01,3.62E-01
78,2.85E-01,1.95E-01,3.74E-01
79,3.13E-01,1.92E-01,3.89E-01
80,2.75E-01,2.18E-01,3.92E-01
81,2.48E-01,2.60E-01,3.80E-01
82,2.76E-01,2.92E-01,4.03E-01
83,2.37E-01,3.00E-01,3.86E-01
84,2.32E-01,3.17E-01,3.71E-01
85,1.98E-01,3.32E-01,3.99E-01
86,2.32E-01,3.55E-01,3.78E-01
87,2.73E-01,3.55E-01,3.96E-01
88,2.93E-01,3.82E-01,3.78E-01
89,2.71E-01,3.93E-01,3.52E-01
90,2.38E-01,3.48E-01,3.52E-01
91,2.18E-01,3.88E-01,3.28E-01
92,1.98E-01,3.58E-01,3.35E-01
93,2.01E-01,3.78E-01,3.61E-01
94,1.91E-01,3.55E-01,3.32E-01
95,1.58E-01,3.69E-01,3.11E-01
96,1.75E-01,3.87E-01,3.10E-01
97,1.76E-01,4.20E-01,2.94E-01
98,1.66E-01,3.77E-01,2.67E-01
99,2.07E-01,3.81E-01,2.47E-01
100,1.68E-01,3.71E-01,2.24E-01
101,1.57E-01,3.72E-01,2.17E-01
102,1.84E-01,3.70E-01,2.12E-01
103,2.18E-01,4.02E-01,2.07E-01
104,2.40E-01,3.94E-01,2.32E-01
105,2.61E-01,4.39E-01,2.54E-01
106,2.47E-01,4.37E-01,2.52E-01
107,2.66E-01,4.13E-01,2.78E-01
108,2.61E-01,3.83E-01,2.71E-01
109,2.65E-01,4.25E-01,2.87E-01
110,2.85E-01,4.32E-01,2.72E-01
111,2.94E-01,3.86E-01,2.44E-01
112,3.12E-01,3.78E-01,2.48E-01
113,3.17E-01,3.79E-01,2.23E-01
114,3.31E-01,3.50E-01,2.00E-01
115,3.68E-01,3.53E-01,1.88E-01
116,3.98E-01,3.79E-01,1.85E-01
117,3.84E-01,3.68E-01,2.00E-01
118,3.55E-01,4.03E-01,2.00E-01
119,3.40E-01,4.21E-01,1.93E-01
120,3.06E-01,4.37E-01,1.82E-01
121,3.45E-01,4.72E-01,2.00E-01
122,3.08E-01,4.86E-01,2.09E-01
123,3.24E-01,4.72E-01,2.11E-01
124,3.43E-01,4.83E-01,2.21E-01
125,3.42E-01,4.40E-01,2.43E-01
126,3.17E-01,4.78E-01,2.17E-01
127,3.09E-01,4.74E-01,2.36E-01
128,3.23E-01,4.40E-01,2.30E-01
129,3.48E-01,4.58E-01,2.06E-01
130,3.17E-01,4.88E-01,2.05E-01
131,3.13E-01,4.98E-01,2.05E-01
132,3.24E-01,4.86E-01,1.98E-01
133,3.55E-01,4.64E-01,2.19E-01
134,3.34E-01,4.80E-01,2.27E-01
135,3.69E-01,4.78E-01,2.16E-01
136,3.98E-01,4.94E-01,1.92E-01
137,3.93E-01,4.96E-01,2.18E-01
138,4.16E-01,4.97E-01,2.35E-01
139,4.14E-01,4.63E-01,2.31E-01
140,3.78E-01,4.78E-01,2.47E-01
141,4.12E-01,4.34E-01,2.34E-01
142,3.73E-01,3.97E-01,2.15E-01
143,3.97E-01,4.24E-01,1.95E-01
144,4.08E-01,3.96E-01,2.18E-01
